Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
411437,barcelona,Room,From 2 July,600,some bills included,Room for rent in  7-bedroom apartment in Eixample Dreta,https://www.spotahome.com/barcelona/for-rent:rooms/411437,Eixample Dreta
1205352,barcelona,Apartment,From 14 April,3421-4389,no deposit,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1205352,Barcelona
1083009,barcelona,Room,From 11 July,595,instant booking,Room for rent in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1083009,Barcelona
94107,barcelona,Room,From 2 July,578-771,bills included,Welcoming room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/94107,El Born
779786,barcelona,Room,From 1 July,470,some bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/779786,Barcelona
100311,barcelona,Room,From 1 July,600,bills included,Furnished room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/100311,El Born
1003964,barcelona,Room,From 31 May,635,instant booking,Rooms for rent in a 7-Bedroom apartment in Barcelona!,https://www.spotahome.com/barcelona/for-rent:rooms/1003964,Barcelona
931861,barcelona,Room,From 16 July,530,instant booking,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/931861,Barcelona
1179849,barcelona,Apartment,From 15 April,3724-4208,no deposit,2-bedroom apartment for rent in L'Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1179849,L'Eixample
932576,barcelona,Room,From 2 June,910,some bills included,Room to rent in 8-bedroom apartment in Villa de Gracia,https://www.spotahome.com/barcelona/for-rent:rooms/932576,de Gracia
577470,barcelona,Room,From 30 June,720,instant booking,Room in coliving next to La Rambla,https://www.spotahome.com/barcelona/for-rent:rooms/577470,La Rambla
952743,barcelona,Room,From 4 July,789,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952743,Barcelona
952410,barcelona,Room,From 4 July,835,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952410,Barcelona
952424,barcelona,Room,From 4 July,835,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952424,Barcelona
952418,barcelona,Room,From 4 July,835,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952418,Barcelona
982342,barcelona,Residence,From 2 March,650,bills included,Rooms for rent in a residence in Mataró Barcelona,https://www.spotahome.com/barcelona/for-rent:residences/982342,Mataró
323664,barcelona,Room,From 2 July,730,bills included,Room in 6-bedroom apartment in Barri Gòtic Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/323664, Gòtic
592357,barcelona,Apartment,From 1 July,2000,bills included,Whole 3 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/592357,Barcelona
234128,barcelona,Apartment,From 1 July,2000,bills included,Comfortable 3-bedroom apartment for rent in Poble-sec,https://www.spotahome.com/barcelona/for-rent:apartments/234128,Poble-sec
300183,barcelona,Room,From 1 June,750,some bills included,Room for rent in 4-bedroom apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/300183,El Born
386597,barcelona,Room,From 4 July,625,instant booking,Room for rent in 4-bedroom apartment in Esquerra Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/386597,Eixample Esquerra Eixample
264515,barcelona,Apartment,From 16 July,1300,some bills included,2-bedroom apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/264515,El Raval
