Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link
973057,barcelona,Room,From 3 March,839,bills included,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/973057
443871,barcelona,Room,From 7 March,575,no deposit,"Room for rent in 4-bedroom apartment in Montjuïc, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/443871
916022,barcelona,Studio,From 2 March,1600,bills included,Whole 1 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/916022
237277,barcelona,Room,From 6 April,435,bills included,"Room in 12-bedroom apartment in Poblenou, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/237277
1022797,barcelona,Room,From 2 March,570,instant booking,"Room for rent in 4-bedroom apartment in El Raval, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/1022797
982350,barcelona,Residence,From 2 March,620,bills included,"Rooms for rent in a residence in Mataró, Barcelona",https://www.spotahome.com/barcelona/for-rent:residences/982350
1069717,barcelona,Room,From 1 May,500,bills included,Lovely room for rent in 4-bedroom apartment in Gràcia,https://www.spotahome.com/barcelona/for-rent:rooms/1069717
942435,barcelona,Apartment,From 2 March,1700,bills included,1-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/942435
707195,barcelona,Room,From 9 April,350,some bills included,Room in shared apartment in Esplugues de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/707195
1089780,barcelona,Apartment,From 1 April,1680,bills included,"3-bedroom apartment for rent in Gràcia, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/1089780
450707,barcelona,Room,From 1 May,420,no deposit,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/450707
372810,barcelona,Room,From 5 March,584,some bills included,Room for rent in 13-bedroom apartment in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:rooms/372810
963794,barcelona,Apartment,From 2 March,2000-3000,bills included,"2-bedroom apartment for rent in Sant Antoni, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/963794
1185485,barcelona,Room,From 15 March,610,instant booking,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1185485
592524,barcelona,Room,From 2 March,600-680,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/592524
1050435,barcelona,Room,From 2 March,740,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1050435
1050434,barcelona,Room,From 2 March,740,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1050434
607360,barcelona,Room,From 2 March,950,bills included,"Ideal room in shared apartment by Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/607360
633180,barcelona,Room,From 3 March,690,some bills included,Rooms for rent in a 7-Bedrooms apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/633180
875708,barcelona,Room,From 7 March,490,some bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/875708
113982,barcelona,Room,From 2 March,900,bills included,"Equipped room in shared apartment in El Born, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/113982
372777,barcelona,Room,From 5 March,653,some bills included,Bright room in 14-bedroom apartment in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:rooms/372777
272558,barcelona,Room,From 7 March,750,some bills included,"Room for rent in 3-bedroom apartment in El Born, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/272558
762495,barcelona,Room,From 2 March,850,bills included,Rooms for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/762495
366911,barcelona,Room,From 11 April,600,some bills included,"Room for rent, 4-bedroom apartment, Poblenou",https://www.spotahome.com/barcelona/for-rent:rooms/366911
989023,barcelona,Apartment,From 3 April,1440,bills included,"2-bedroom apartment for rent in Barceloneta, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/989023
977835,barcelona,Room,From 5 March,826,bills included,Rooms for rent in a 8-Bedrooms Apartment,https://www.spotahome.com/barcelona/for-rent:rooms/977835
1091444,barcelona,Room,From 31 May,410,instant booking,Room for rent in shared 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1091444
1204534,barcelona,Apartment,From 1 June,1620,bills included,3-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1204534
927066,barcelona,Room,From 3 March,748,bills included,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/927066
928824,barcelona,Room,From 3 March,913,bills included,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/928824
1016298,barcelona,Room,From 2 March,700,some bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1016298
426451,barcelona,Room,From 2 March,820,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/426451
927516,barcelona,Room,From 2 March,680,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/927516
1078793,barcelona,Studio,From 3 March,1300-2000,some bills included,"Studio apartment for rent in Sants, Barcelona",https://www.spotahome.com/barcelona/for-rent:studios/1078793
357030,barcelona,Apartment,From 5 March,1200,some bills included,Cozy 1-bedroom apartment with AC in Sants - Students Only,https://www.spotahome.com/barcelona/for-rent:apartments/357030
577482,barcelona,Room,From 2 March,600-680,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/577482
1214638,barcelona,Room,From 13 March,500,bills included,Room in shared apartment in Sabadell,https://www.spotahome.com/barcelona/for-rent:rooms/1214638
964400,barcelona,Room,From 2 March,760,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/964400
94933,barcelona,Room,From 1 April,650,bills included,"Luminous room in shared apartment in Gracia, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/94933
1185487,barcelona,Room,From 30 April,520,instant booking,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1185487
952804,barcelona,Room,From 5 March,855,bills included,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952804
952847,barcelona,Room,From 5 March,835,bills included,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952847
984434,barcelona,Room,From 7 March,500,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/984434
337401,barcelona,Studio,From 20 March,1100-1900,instant booking,Studio apartment for rent close to the beach in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/337401
966575,barcelona,Room,From 7 March,850,bills included,"Room for rent in 7-bedroom apartment in Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/966575
380297,barcelona,Room,From 18 March,732,some bills included,"Room for rent in 19-bedroom apartment in Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/380297
935681,barcelona,Room,From 2 March,665,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/935681
