Reference Number;Bedrooms;Bathrooms;Area
929897;3;1;No info
113981;3;1;100
372781;14;3;320
372771;14;3;320
443789;1;1;37
927064;6;2;150
866985;1;1;No info
94427;1;1;65
361032;5;1;No info
961363;1;55;No info
302437;4;1;100
1190064;5;1;No info
1210087;4;2;1
640438;1;1;30
272935;2;1;65
1183108;3;2;80
1081070;4;1;65
265368;1;1;100
1020050;13;5;350
952277;5;1;No info
929903;6;2;No info
297601;4;3;120
270804;3;1;65
953162;6;2;No info
872607;6;2;190
955969;2;3;60
943941;4;1;140
943939;4;1;140
1199281;8;No info;No info
754628;4;1;No info
651779;3;2;100
1013104;7;No info;No info
340909;1;1;80
573716;20;15;1000
932382;1;32;No info
1220843;2;1;No info
1001153;2;2;105
1199278;8;No info;No info
961241;3;1;70
1212723;2;1;32
1202209;2;2;No info
1020052;13;5;350
1077568;4;2;120
766901;2;1;80
291435;1;25;No info
769867;14;4;380
769873;14;4;380
875715;4;No info;No info
666392;3;1;No info
86484;4;2;110
982715;5;5;120
326480;7;1;133
433509;1;1;40
355150;3;1;70
153516;5;1;105
832639;1;20;No info
832380;1;20;No info
1052420;3;2;140
362682;4;2;95
607359;18;5;460
220778;3;1;65
1083053;2;2;211
929893;7;2;No info
762657;2;1;No info
153883;7;2;150
801023;7;3;No info
119717;4;2;135
801024;7;3;No info
973062;6;2;No info
95310;1;1;50
929444;4;1;No info
1077395;2;2;80
204964;7;1;No info
442901;4;2;100
958455;2;1;No info
1199482;6;2;170
1205904;3;1;75
85508;2;1;50
1020048;13;5;350
952779;8;139;No info
1196100;1;No info;No info
1071003;3;No info;No info
1064374;6;No info;No info
592519;3;No info;No info
85944;2;2;80
296119;4;1;102
94935;4;1;80
1210088;4;2;1
265357;3;1;70
602104;2;1;70
928822;7;3;200
928821;7;3;200
773475;1;1;No info
983460;4;No info;No info
692556;1;1;No info
1190809;5;No info;No info
402683;5;2;156
1018274;4;2;90
279368;2;1;70
1189872;5;2;90
1189870;5;2;90
323606;6;2;100
782386;12;1;588
992183;5;1;No info
153515;5;1;105
402679;5;2;156
929896;3;1;No info
1204153;2;1;No info
990742;4;1;No info
925220;4;2;No info
954940;4;2;80
1189873;5;2;90
1081588;2;2;65
1090762;9;2;No info
610736;2;1;80
973187;5;2;No info
113983;3;1;100
620911;1;1;No info
212838;6;2;165
403082;3;2;80
580281;3;1;No info
1186727;3;1;35
1011907;2;1;60
952823;6;130;No info
1007716;5;No info;No info
1080814;3;1;60
973060;6;2;No info
1196115;No info;No info;No info
1196102;No info;No info;No info
372776;14;3;320
598360;1;1;50
1014451;3;1;75
929890;7;2;No info
877415;7;1;No info
962171;4;2;120
988168;6;2;No info
518061;1;1;70
393462;6;2;150
291437;1;25;No info
580618;2;2;No info
207442;10;2;150
1090685;2;1;56
668919;5;2;No info
785546;1;37;No info
443847;3;1;70
302696;7;4;195
564986;7;2;200
925108;1;73;No info
1074893;1;25;No info
1067966;3;1;120
1013101;7;No info;No info
1088834;6;2;100
433936;1;28;No info
952266;4;1;77
625207;1;30;No info
801026;7;3;No info
1216838;3;2;100
982260;1;No info;No info
982258;1;No info;No info
982266;1;No info;No info
982262;1;No info;No info
982264;1;No info;No info
1008535;10;12;1000
937171;1;40;No info
402680;5;2;156
781669;1;1;36
972208;3;1;No info
215712;7;1;140
973071;6;2;No info
774400;5;2;196
1089545;2;1;60
1197197;2;2;No info
348914;5;2;No info
1185482;6;2;95
973052;6;2;No info
973055;6;2;No info
1083755;2;No info;No info
1007717;5;No info;No info
1010068;1;40;No info
827176;7;2;170
611685;1;1;35
1003178;3;1;97
969479;2;1;60
982274;1;No info;No info
982278;1;No info;No info
982268;1;No info;No info
982282;1;No info;No info
982280;1;No info;No info
982288;1;No info;No info
982290;1;No info;No info
982298;1;No info;No info
982300;1;No info;No info
982302;1;No info;No info
982284;1;No info;No info
982296;1;No info;No info
982292;1;No info;No info
