Reference Number,Bedrooms,Flatmates,Bathrooms,Area
983460,No info,4,No info,No info
692556,1,No info,1,No info
1190809,No info,5,No info,No info
402683,No info,5,2,156
1018274,No info,4,2,90
279368,2,No info,1,70
1189872,No info,5,2,90
1189870,No info,5,2,90
323606,No info,6,2,100
782386,No info,12,1,588
992183,No info,5,1,No info
153515,No info,5,1,105
402679,No info,5,2,156
929896,No info,3,1,No info
1204153,2,No info,1,No info
990742,No info,4,1,No info
925220,No info,4,2,No info
954940,No info,4,2,80
1189873,No info,5,2,90
1081588,2,No info,2,65
1090762,No info,9,2,No info
610736,2,No info,1,80
973187,No info,5,2,No info
113983,No info,3,1,100
620911,1,No info,1,No info
212838,No info,6,2,165
403082,No info,3,2,80
580281,No info,3,1,No info
1186727,No info,3,1,35
1011907,2,No info,1,60
952823,No info,6,No info,130
1007716,No info,5,No info,No info
1080814,No info,3,1,60
973060,No info,6,2,No info
1196115,No info,No info,No info,No info
1196102,No info,No info,No info,No info
372776,No info,14,3,320
598360,1,No info,1,50
1014451,No info,3,1,75
929890,No info,7,2,No info
877415,No info,7,1,No info
962171,No info,4,2,120
988168,No info,6,2,No info
518061,1,No info,1,70
393462,No info,6,2,150
291437,No info,No info,1,25
580618,No info,2,2,No info
207442,No info,10,2,150
1090685,2,No info,1,56
668919,No info,5,2,No info
785546,No info,No info,1,37
443847,No info,3,1,70
302696,No info,7,4,195
564986,No info,7,2,200
925108,No info,No info,1,73
1074893,No info,No info,1,25
1067966,No info,3,1,120
1013101,No info,7,No info,No info
1088834,No info,6,2,100
433936,No info,No info,1,28
952266,No info,4,1,77
625207,No info,No info,1,30
801026,No info,7,3,No info
1216838,No info,3,2,100
982260,1,No info,No info,No info
982258,1,No info,No info,No info
982266,1,No info,No info,No info
982262,1,No info,No info,No info
982264,1,No info,No info,No info
1008535,No info,10,12,1000
937171,No info,No info,1,40
402680,No info,5,2,156
781669,1,No info,1,36
972208,No info,3,1,No info
215712,No info,7,1,140
973071,No info,6,2,No info
774400,No info,5,2,196
1089545,2,No info,1,60
1197197,2,No info,2,No info
348914,No info,5,2,No info
1185482,No info,6,2,95
973052,No info,6,2,No info
973055,No info,6,2,No info
1083755,2,No info,No info,No info
1007717,No info,5,No info,No info
1010068,No info,No info,1,40
827176,No info,7,2,170
611685,1,No info,1,35
1003178,No info,3,1,97
969479,2,No info,1,60
982274,1,No info,No info,No info
982278,1,No info,No info,No info
982268,1,No info,No info,No info
982282,1,No info,No info,No info
982280,1,No info,No info,No info
982288,1,No info,No info,No info
982290,1,No info,No info,No info
982298,1,No info,No info,No info
982300,1,No info,No info,No info
982302,1,No info,No info,No info
982284,1,No info,No info,No info
982296,1,No info,No info,No info
982292,1,No info,No info,No info
982272,1,No info,No info,No info
982270,1,No info,No info,No info
982286,1,No info,No info,No info
982294,1,No info,No info,No info
929411,No info,4,2,No info
372801,No info,13,2,280
990140,No info,5,2,No info
955187,No info,3,2,72
596055,1,No info,1,50
1007862,1,No info,1,80
1020047,No info,13,5,350
931521,No info,3,1,70
931522,No info,3,1,70
927184,No info,7,3,190
215711,No info,7,1,140
927183,No info,7,3,190
973214,1,No info,1,No info
1172424,No info,3,2,62
1172423,No info,3,2,62
1020054,No info,13,5,350
95340,No info,9,2,230
1076482,No info,5,2,120
1064370,No info,6,No info,No info
205401,No info,4,1,124
754839,No info,4,2,140
982322,1,No info,No info,No info
982314,1,No info,No info,No info
982308,1,No info,No info,No info
982334,1,No info,No info,No info
982330,1,No info,No info,No info
982312,1,No info,No info,No info
982310,1,No info,No info,No info
982306,1,No info,No info,No info
982326,1,No info,No info,No info
982304,1,No info,No info,No info
982332,1,No info,No info,No info
982320,1,No info,No info,No info
982318,1,No info,No info,No info
982316,1,No info,No info,No info
894062,No info,2,1,20
886474,No info,2,1,20
894063,No info,2,1,20
886476,No info,2,1,20
886477,No info,2,1,20
886472,No info,2,1,20
878843,No info,2,1,20
894061,No info,2,1,20
878842,No info,2,1,20
886473,No info,2,1,20
724424,2,No info,1,60
1164449,No info,3,1,75
