Reference Number,Bedrooms,Flatmates,Bathrooms,Area
366445,3,No info,1,50
147187,No info,No info,1,20
928787,No info,4,2,100
642513,No info,4,1,120
954980,No info,4,1,90
935248,No info,3,1,75
653893,No info,4,1,120
1003045,No info,5,3,220
915666,No info,5,2,150
1088853,No info,7,2,150
1025940,No info,6,2,No info
233486,No info,4,1,75
992182,No info,5,1,No info
289701,No info,7,2,160
1078573,No info,4,1,70
988181,No info,6,2,No info
136577,No info,5,4,195
207440,No info,10,2,150
207441,No info,10,2,150
203539,No info,10,2,150
778503,No info,4,2,94
1083010,No info,8,2,No info
267743,No info,6,No info,160
441371,3,No info,1,80
809971,2,No info,2,170
788850,No info,3,1,67
922878,No info,7,3,No info
973263,No info,6,2,No info
761065,2,No info,1,65
942392,2,No info,1,70
1181585,2,No info,No info,No info
994802,No info,7,No info,No info
523134,No info,8,2,200
935472,No info,5,1,96
935471,No info,5,1,96
1014865,No info,8,3,280
928980,No info,2,No info,No info
144627,2,No info,1,50
124941,3,No info,1,60
1073234,No info,4,2,100
953592,4,No info,2,195
625306,No info,3,1,No info
768489,No info,6,3,196
401773,No info,4,1,No info
994783,No info,7,2,No info
359853,No info,5,2,80
201670,No info,4,1,72
956730,No info,4,1,No info
565520,No info,6,3,150
769870,No info,14,4,380
305649,No info,7,1,161
137561,1,No info,1,27
374291,No info,8,2,150
235023,3,No info,1,75
967845,No info,5,1,130
953597,5,No info,2,195
1163805,No info,4,1,75
1205141,2,No info,No info,No info
363726,No info,4,1,85
1069159,No info,3,1,No info
577481,No info,4,2,82
984068,No info,4,1,No info
996804,2,No info,No info,67
963834,2,No info,1,70
967844,No info,5,1,130
1007715,No info,5,No info,No info
210611,No info,4,2,120
372779,No info,14,3,320
950621,No info,5,4,No info
129780,No info,5,2,90
94569,No info,4,1,80
372126,1,No info,1,35
459062,2,No info,1,70
955345,No info,7,1,No info
950984,No info,6,2,140
282047,No info,4,1,85
924843,1,No info,1,50
1175741,2,No info,2,No info
331200,No info,5,2,120
272416,1,No info,1,65
126690,No info,3,1,65
1064372,No info,6,No info,No info
396063,No info,5,1,85
952783,No info,6,No info,130
952782,No info,6,No info,130
994856,No info,11,No info,No info
801022,No info,7,3,No info
971711,No info,5,1,140
138813,No info,6,2,180
139151,No info,6,2,180
760693,2,No info,1,60
935482,No info,3,1,55
400769,No info,11,2,180
141400,No info,No info,1,20
372797,No info,8,2,150
889641,1,No info,1,No info
780783,No info,3,2,70
400352,2,No info,1,60
118243,No info,3,1,85
935454,No info,7,2,142
935668,No info,6,3,No info
404546,1,No info,1,No info
1004059,No info,7,No info,No info
1083008,No info,8,2,No info
226091,No info,7,2,170
768422,3,No info,1,No info
94428,1,No info,1,65
123041,No info,6,2,120
1190968,3,No info,2,80
1085562,No info,7,2,120
952408,No info,5,1,96
935683,No info,5,1,77
135623,No info,8,3,200
931858,No info,4,1,No info
601187,No info,9,3,167
988165,No info,6,2,No info
147188,No info,No info,1,20
154818,1,No info,1,40
210614,No info,4,2,120
154961,No info,6,2,No info
306301,No info,5,3,115
218233,2,No info,1,75
917853,No info,6,2,No info
621006,1,No info,1,No info
201546,No info,No info,1,16
964556,No info,6,1,97
994787,No info,7,2,No info
1004063,No info,7,No info,No info
1012812,No info,7,3,115
962797,No info,5,No info,No info
201528,No info,6,No info,134
573668,No info,3,2,110
779785,No info,4,1,75
622275,2,No info,1,No info
747717,1,No info,1,55
988180,No info,6,2,No info
1199653,No info,2,1,80
123429,No info,3,2,85
242343,No info,3,2,120
1076599,No info,6,4,160
1076597,No info,6,4,160
953319,No info,6,2,No info
473018,2,No info,1,65
955349,No info,7,1,No info
1191220,No info,No info,1,60
746420,2,No info,1,No info
955344,No info,7,1,No info
1082739,No info,3,1,16
393557,2,No info,1,68
981795,No info,4,1,No info
1196236,2,No info,No info,No info
1181574,1,No info,No info,No info
1190972,3,No info,2,80
207743,No info,No info,1,49
620782,2,No info,1,No info
959825,No info,No info,1,60
1187890,No info,4,1,70
601195,No info,5,2,75
326479,No info,7,1,133
359850,No info,5,2,80
916769,2,No info,2,No info
1089867,No info,No info,1,65
961708,No info,3,2,95
372750,No info,19,6,320
1069341,No info,3,2,65
1013106,No info,7,No info,No info
1073619,No info,3,1,No info
935451,No info,7,2,142
931860,No info,4,1,No info
621874,2,No info,1,No info
595209,1,No info,1,43
950623,No info,5,4,No info
592467,No info,3,No info,No info
206773,No info,7,1,125
206776,No info,7,1,125
1163806,No info,4,1,75
1001062,No info,4,2,100
94103,No info,8,3,140
922510,2,No info,1,65
1083077,No info,5,4,120
952451,No info,5,No info,101
1022187,3,No info,1,No info
952735,No info,9,No info,136
933373,1,No info,1,48
573719,No info,20,15,1000
952747,No info,6,No info,130
218407,No info,5,1,90
1004064,No info,7,No info,No info
1004072,No info,7,2,No info
1004071,No info,7,2,No info
754629,No info,4,1,No info
779227,2,No info,1,65
1012816,No info,7,3,115
346843,No info,5,2,115
689044,No info,3,2,70
977839,No info,8,4,160
639706,No info,7,3,125
970038,No info,8,4,No info
970040,No info,8,4,No info
622516,2,No info,1,No info
359852,No info,5,2,80
601319,No info,6,2,75
338509,No info,4,1,100
560237,No info,2,1,66
337356,No info,No info,No info,No info
301377,No info,5,2,105
201669,No info,4,1,72
1003966,No info,7,2,No info
264266,No info,4,2,130
240691,No info,3,1,60
382719,No info,5,2,1
1003021,No info,3,1,60
154504,No info,10,1,200
601332,No info,5,2,75
242039,1,No info,1,No info
523133,No info,8,2,200
800864,2,No info,1,71
623659,No info,2,2,90
1205153,No info,No info,No info,No info
1003020,No info,3,1,60
417433,1,No info,1,50
1085563,No info,7,2,120
338512,No info,4,1,100
229412,No info,7,2,122
1174849,3,No info,1,No info
999586,No info,5,No info,No info
397758,No info,4,2,130
769338,No info,5,5,200
952070,No info,4,2,160
515490,1,No info,1,55
762485,2,No info,1,No info
929892,No info,7,2,No info
948660,2,No info,2,No info
625172,1,No info,No info,60
927095,No info,No info,1,35
1000076,No info,3,2,No info
577508,No info,3,1,72
988176,No info,7,2,No info
810055,2,No info,1,76
363931,No info,6,2,No info
952827,No info,6,No info,130
204965,No info,7,1,No info
963065,2,No info,2,No info
971691,No info,5,1,140
83598,No info,3,1,60
215438,2,No info,1,50
592487,No info,4,No info,No info
925037,No info,10,3,210
459913,No info,5,4,75
151175,No info,7,2,132
210612,No info,4,2,120
233484,No info,4,1,75
994804,No info,7,No info,No info
289670,No info,4,1,84
154960,No info,6,2,No info
210913,No info,4,2,85
337358,No info,No info,No info,No info
1004069,No info,7,2,No info
1003973,No info,7,2,No info
607963,2,No info,1,70
1068549,No info,6,2,200
821344,No info,7,1,No info
592497,No info,3,No info,No info
212076,3,No info,2,175
773797,No info,4,2,96
229407,No info,7,2,122
1083006,No info,8,2,No info
1078570,No info,4,1,70
971689,No info,5,1,140
227612,2,No info,2,95
970372,3,No info,2,78
601304,No info,5,2,75
372773,No info,14,3,320
1179888,1,No info,No info,No info
570422,No info,No info,1,25
668554,2,No info,1,70
523136,No info,8,2,200
1089849,1,No info,1,55
601193,No info,5,2,75
620870,2,No info,1,No info
973197,No info,8,3,No info
620859,3,No info,2,No info
373490,No info,3,1,85
922876,No info,7,3,No info
922877,No info,7,3,No info
151170,No info,7,2,132
769550,No info,3,2,90
1073239,No info,No info,1,25
990055,3,No info,2,74
985550,No info,3,1,60
1168951,No info,No info,1,30
372127,3,No info,1,75
622389,2,No info,1,No info
1069860,No info,6,No info,No info
1169451,1,No info,1,No info
117826,3,No info,1,95
935685,No info,5,1,77
652307,No info,4,2,102
231824,No info,4,1,100
1089799,No info,5,2,No info
1074085,2,No info,1,75
1205310,3,No info,No info,No info
89869,No info,5,1,110
935496,No info,5,2,96
209764,No info,No info,1,50
120220,No info,10,4,360
942718,No info,6,5,250
1004062,No info,7,No info,No info
372775,No info,14,3,320
225014,2,No info,1,56
125023,2,No info,1,48
219218,No info,4,2,100
400768,No info,11,2,180
639700,No info,7,3,125
276905,2,No info,1,55
653356,No info,4,1,No info
1076241,No info,5,1,No info
668537,1,No info,1,50
1068553,No info,6,2,200
988089,No info,5,2,No info
943946,3,No info,2,No info
218406,No info,5,1,90
346845,No info,5,2,115
769549,No info,3,2,90
997166,No info,4,1,100
1091468,No info,6,1,100
621613,2,No info,1,No info
412493,No info,No info,1,33
272932,No info,3,1,75
334664,No info,3,1,85
1083079,No info,5,4,120
941792,3,No info,1,84
968342,No info,5,2,140
620887,2,No info,1,No info
1086670,No info,5,2,100
1096354,No info,4,1,No info
1096353,No info,4,1,No info
935455,No info,7,2,142
370284,2,No info,1,60
927792,No info,5,2,No info
988106,No info,10,5,No info
313503,No info,4,2,110
153338,No info,10,3,250
952763,No info,8,No info,126
85463,2,No info,1,48
986235,1,No info,1,No info
1076255,No info,5,1,No info
151274,No info,7,2,132
161402,No info,3,1,65
966579,No info,7,3,150
973245,No info,6,No info,No info
441100,No info,3,1,80
990136,No info,5,2,No info
102547,No info,7,2,180
929087,No info,4,1,90
295153,1,No info,1,50
292376,No info,No info,1,15
84707,No info,4,1,75
997376,1,No info,1,No info
84284,No info,3,1,90
974364,No info,No info,1,30
1174951,No info,3,2,95
1182648,1,No info,No info,No info
1003788,No info,4,2,90
952857,No info,6,No info,130
134274,No info,10,3,180
126980,No info,8,2,180
1180123,2,No info,No info,No info
769607,3,No info,2,87
1180181,1,No info,No info,No info
962193,No info,8,No info,No info
947701,No info,10,4,No info
201522,No info,6,5,No info
229718,No info,3,2,105
139411,2,No info,1,52
102687,1,No info,1,35
1017965,3,No info,2,95
952785,No info,6,No info,130
952786,No info,6,No info,130
1073232,No info,4,2,100
228965,2,No info,1,45
972220,No info,5,No info,No info
592504,No info,4,No info,No info
305653,No info,7,1,161
309800,1,No info,1,55
971708,No info,5,1,140
972210,No info,6,2,No info
984069,No info,4,1,No info
1215443,3,No info,1,70
773794,No info,4,2,96
392238,No info,3,1,70
478717,No info,3,1,65
668515,2,No info,1,60
154814,No info,No info,1,25
988095,No info,5,2,No info
128149,No info,8,2,175
128147,No info,8,2,175
596060,2,No info,1,55
375911,No info,3,2,120
209537,1,No info,1,48
996994,No info,2,1,No info
726458,1,No info,1,53
120978,No info,7,2,132
728575,2,No info,1,No info
620714,2,No info,2,No info
912986,No info,No info,1,45
326655,No info,4,5,350
983949,No info,20,3,20
935474,No info,5,1,96
924857,2,No info,1,46
1074899,No info,No info,1,35
973904,No info,1,1,90
133307,No info,8,4,200
139679,3,No info,1,100
1017961,3,No info,2,95
146472,No info,9,2,120
929406,No info,6,2,No info
466848,2,No info,2,110
397755,No info,4,2,130
1007714,No info,5,No info,No info
154840,2,No info,1,51
218316,No info,10,2,200
228962,2,No info,1,45
810090,1,No info,1,65
990302,No info,3,1,48
141140,No info,4,2,75
1085557,No info,7,2,120
151171,No info,7,2,132
931872,No info,6,No info,No info
453094,No info,4,1,40
453095,No info,4,1,40
1003790,No info,4,2,90
768075,2,No info,2,56
154502,No info,10,1,200
466289,No info,5,2,125
915920,No info,7,3,136
1014563,No info,4,2,96
520540,2,No info,1,85
968343,No info,5,2,140
282071,No info,4,2,100
209224,1,No info,1,38
951340,3,No info,1,93
925036,No info,10,3,210
1088835,No info,6,2,100
989599,No info,No info,2,80
962197,No info,8,No info,No info
335659,No info,4,2,100
601331,No info,5,2,75
272418,2,No info,1,No info
362685,No info,4,2,95
1181568,2,No info,No info,No info
935590,No info,6,2,105
773795,No info,4,2,96
268803,3,No info,1,57
372786,No info,10,6,120
997046,No info,3,1,75
1086281,2,No info,1,65
997368,No info,3,1,150
601295,No info,6,2,75
132686,No info,10,3,180
952859,No info,6,No info,130
478719,No info,3,1,65
764097,2,No info,1,66
213410,No info,5,1,105
148769,2,No info,1,48
113344,No info,4,1,90
559805,2,No info,2,80
897011,1,No info,1,No info
296245,2,No info,1,50
994851,No info,11,No info,No info
258996,1,No info,1,48
1200418,No info,5,1,No info
512468,No info,7,2,190
768097,3,No info,2,No info
1182950,3,No info,No info,No info
788852,No info,3,1,67
1016247,No info,3,1,75
977838,No info,8,4,160
512470,No info,7,2,190
362684,No info,4,2,95
982899,2,No info,1,60
94570,No info,4,1,80
986255,2,No info,1,90
1005871,No info,6,No info,No info
466288,No info,5,2,125
973247,No info,5,No info,No info
301375,No info,5,2,105
930858,2,No info,2,118
268550,No info,No info,1,25
126688,No info,4,1,80
728587,3,No info,1,No info
836785,2,No info,1,79
839943,2,No info,1,No info
612443,1,No info,1,45
765596,2,No info,1,44
995503,2,No info,1,No info
201530,No info,6,No info,134
201532,No info,6,No info,134
110568,No info,5,1,100
363727,No info,4,1,85
640973,No info,5,2,101
951347,1,No info,1,47
971676,No info,5,2,140
968339,No info,5,2,140
971679,No info,5,2,140
1196125,1,No info,No info,No info
224788,No info,5,2,140
323605,No info,6,2,100
1068552,No info,6,2,200
1022811,2,No info,1,No info
323666,No info,6,2,115
331198,No info,5,2,120
123118,2,No info,1,70
128148,No info,8,2,175
380301,No info,19,6,320
260363,No info,5,2,100
260367,No info,5,2,100
306119,No info,No info,1,No info
877412,No info,6,2,No info
353862,No info,No info,1,No info
85665,1,No info,1,65
1182731,2,No info,No info,No info
770413,No info,2,1,No info
219219,No info,4,2,100
110561,No info,6,2,140
302602,No info,2,2,70
1080813,No info,3,1,60
289278,1,No info,1,No info
229421,No info,7,2,No info
201527,No info,6,No info,134
280513,No info,4,2,120
621870,3,No info,2,No info
326443,No info,2,2,200
393464,No info,6,2,150
668500,2,No info,1,76
966278,2,No info,1,No info
1074128,3,No info,2,80
619355,2,No info,1,60
918417,No info,4,1,90
1014909,No info,3,1,500
988092,No info,5,2,No info
1013700,No info,6,No info,No info
263518,No info,9,5,282
157091,1,No info,1,47
601284,No info,6,2,75
601181,No info,9,3,167
810180,2,No info,1,80
523139,No info,8,2,200
894012,1,No info,1,50
935591,No info,6,2,105
952413,No info,5,No info,94
239929,1,No info,1,51
953161,No info,6,2,No info
653894,No info,4,1,120
229352,No info,3,1,60
1175662,No info,2,2,No info
220782,2,No info,1,79
1180140,2,No info,No info,No info
931846,No info,8,2,140
258533,No info,10,2,150
207443,No info,10,2,150
935679,No info,5,1,No info
988167,No info,6,2,No info
989609,No info,3,1,69
120221,No info,10,4,360
1073976,2,No info,2,No info
943078,2,No info,2,62
665968,2,No info,2,No info
760129,No info,3,1,150
801021,No info,7,3,No info
1066730,2,No info,2,100
924861,1,No info,1,47
828781,3,No info,1,No info
745082,3,No info,1,No info
725930,3,No info,1,No info
1174854,No info,3,1,80
770496,3,No info,1,67
639701,No info,7,3,125
1180119,2,No info,No info,No info
372800,No info,13,2,280
992180,No info,5,1,No info
323624,No info,6,2,100
1091472,No info,6,1,100
935667,No info,6,3,No info
620834,4,No info,2,No info
1175855,2,No info,1,62
95898,No info,3,2,70
154760,No info,4,2,124
933369,3,No info,2,97
935669,No info,6,3,No info
842929,No info,4,1,No info
842928,No info,4,1,No info
201521,No info,6,5,No info
1012815,No info,7,3,115
821349,No info,7,1,No info
456525,No info,7,4,No info
1083075,No info,5,4,120
1004896,No info,5,2,120
917275,3,No info,1,156
988096,No info,5,2,No info
1196212,2,No info,No info,No info
1196199,No info,4,No info,No info
972592,No info,7,2,No info
952866,No info,10,No info,191
952869,No info,10,No info,191
952868,No info,10,No info,191
949550,2,No info,No info,No info
918415,No info,4,1,90
392239,No info,3,1,70
620806,3,No info,2,No info
372772,No info,14,3,320
323604,No info,6,2,100
1196239,2,No info,No info,No info
1180566,2,No info,No info,No info
85477,No info,4,2,90
141138,No info,4,2,75
306302,No info,5,3,115
1088724,3,No info,2,90
564943,No info,8,2,250
954686,No info,3,1,No info
754631,No info,4,1,No info
620717,2,No info,2,No info
1175788,No info,No info,1,64
323663,No info,6,2,115
1205314,2,No info,No info,No info
95341,No info,9,2,230
983950,No info,20,3,20
1070252,No info,No info,1,25
821345,No info,7,1,No info
367514,No info,No info,1,45
973251,No info,5,No info,No info
647835,1,No info,1,60
668509,2,No info,2,120
277616,No info,No info,1,35
96326,2,No info,1,70
927067,No info,6,2,150
1217521,2,No info,1,65
235017,3,No info,1,68
577507,No info,3,1,72
1180430,3,No info,No info,No info
988108,No info,10,5,No info
135628,No info,8,3,200
143262,3,No info,1,80
402682,No info,5,2,156
952853,No info,7,No info,116
340425,3,No info,2,98
927698,No info,4,No info,No info
380307,No info,19,6,320
1180424,2,No info,No info,No info
338511,No info,4,1,100
973248,No info,5,No info,No info
480289,No info,7,5,160
329740,No info,5,2,115
952909,No info,6,No info,123
146465,No info,9,2,120
117039,No info,4,1,75
1006336,No info,7,No info,No info
117040,No info,4,1,75
1091380,No info,4,1,90
142647,3,No info,1,48
205055,No info,2,1,60
466304,No info,5,4,110
466300,No info,5,4,110
94108,No info,8,3,140
350889,No info,5,2,90
364263,2,No info,1,40
1088721,2,No info,1,70
1089848,No info,No info,1,40
1001063,No info,4,2,100
129597,No info,No info,1,35
118263,No info,4,2,124
118264,No info,4,2,124
118268,No info,3,1,124
118266,No info,3,1,124
924863,1,No info,1,50
1180341,No info,No info,No info,No info
640774,No info,4,2,No info
599080,1,No info,1,60
411441,No info,7,3,No info
411437,No info,7,3,No info
1205352,2,No info,No info,No info
1083009,No info,8,2,No info
94107,No info,8,3,140
779786,No info,4,1,75
100311,No info,5,2,130
1003964,No info,7,2,No info
931861,No info,4,1,No info
1179849,2,No info,No info,No info
932576,No info,8,4,270
577470,No info,3,1,71
952743,No info,9,No info,136
952410,No info,5,1,96
952424,No info,5,No info,94
952418,No info,5,No info,96
982342,1,No info,No info,No info
323664,No info,6,2,115
592357,3,No info,2,97
234128,3,No info,1,55
300183,No info,4,3,90
386597,No info,4,2,100
264515,2,No info,1,60
810190,2,No info,1,80
512756,3,No info,1,80
465842,3,No info,1,75
1163787,2,No info,1,No info
120979,No info,7,2,132
120215,No info,10,4,360
134057,2,No info,1,62
135629,No info,8,3,200
155490,No info,7,2,150
601330,No info,5,2,75
668413,2,No info,2,106
120218,No info,10,4,360
1008463,No info,3,1,40
1196610,2,No info,1,71
760888,1,No info,1,38
466286,No info,5,2,125
166868,No info,7,2,170
601303,No info,5,2,75
641651,2,No info,2,127
1175860,2,No info,1,76
372803,No info,13,2,280
945108,No info,3,No info,No info
592488,No info,4,No info,No info
1089739,No info,6,2,120
382717,No info,5,2,1
1069837,No info,10,4,350
760128,No info,3,1,150
978188,No info,4,2,No info
962130,No info,4,2,100
925035,No info,10,3,210
760696,2,No info,1,60
1180131,4,No info,No info,No info
123075,2,No info,1,No info
126981,No info,8,2,180
973198,No info,8,3,No info
146468,No info,9,2,120
94109,No info,8,3,140
599461,No info,3,1,78
726619,No info,4,2,124
146449,No info,7,2,120
201525,No info,6,5,No info
240692,No info,3,1,60
952434,No info,3,1,75
952842,No info,8,No info,133
952913,No info,8,No info,127
754274,2,No info,1,65
202670,No info,5,2,130
236043,No info,5,5,85
973265,No info,6,2,No info
810028,2,No info,2,79
135627,No info,8,3,200
86482,No info,4,2,110
329735,No info,6,2,140
744241,No info,5,4,No info
146453,No info,7,2,120
100313,No info,5,2,130
423229,1,No info,1,41
641720,2,No info,2,70
205374,No info,9,3,167
205373,No info,9,3,167
205375,No info,9,3,167
257633,No info,3,1,No info
967843,No info,5,1,130
782458,3,No info,No info,No info
263512,No info,9,5,282
263514,No info,9,5,282
263515,No info,9,5,282
915917,No info,7,3,136
1181510,No info,3,No info,No info
983977,No info,7,1,No info
922999,No info,No info,1,45
224787,No info,5,2,140
1073485,1,No info,No info,No info
267740,No info,6,No info,160
1001302,2,No info,2,76
1172534,No info,6,4,127
988105,No info,10,5,No info
852440,No info,No info,1,19
564946,No info,8,2,250
967842,No info,5,1,130
592466,No info,3,No info,No info
1175758,3,No info,No info,No info
1183020,3,No info,No info,No info
651712,No info,No info,1,No info
966574,No info,7,3,150
1166145,2,No info,No info,No info
122988,No info,8,2,189
970667,No info,2,1,No info
601329,No info,5,2,75
568876,2,No info,2,114
429501,3,No info,2,100
973199,No info,8,3,No info
92909,No info,5,2,140
935480,No info,3,1,55
988114,No info,10,5,No info
205052,No info,2,1,65
205054,No info,2,1,60
640771,No info,4,2,No info
136881,No info,6,1,210
329744,No info,5,2,115
329743,No info,5,2,115
1013702,No info,6,No info,No info
1009564,2,No info,No info,70
577509,No info,3,1,72
777443,No info,4,No info,80
1180294,2,No info,No info,No info
981877,1,No info,1,70
133311,No info,8,4,200
1083306,No info,5,2,90
952865,No info,10,No info,191
95343,No info,9,2,230
948958,2,No info,1,80
337367,2,No info,1,No info
337384,2,No info,1,65
289703,No info,7,2,160
153887,No info,7,2,150
652042,2,No info,1,No info
651143,3,No info,2,125
602416,No info,8,3,170
931845,No info,8,2,140
877416,No info,7,1,No info
380302,No info,19,6,320
620658,1,No info,1,No info
101225,No info,6,2,103
86429,No info,No info,1,35
609182,No info,2,2,No info
861692,No info,5,2,No info
85658,2,No info,1,70
640155,No info,3,1,80
877409,No info,6,2,No info
927710,No info,9,No info,No info
653755,1,No info,2,70
449902,No info,3,1,85
1183088,1,No info,No info,No info
117264,1,No info,1,45
810100,3,No info,2,113
930594,No info,4,2,90
621388,3,No info,2,No info
1069832,No info,10,4,350
127175,4,No info,2,80
668574,2,No info,2,79
364948,No info,3,2,160
1072512,No info,3,2,No info
207355,No info,4,2,100
1205317,3,No info,No info,No info
991130,2,No info,1,35
601182,No info,9,3,167
924848,2,No info,1,87
952269,No info,5,1,65
827171,No info,7,2,170
994792,No info,7,No info,No info
279259,No info,3,1,75
100309,No info,5,2,130
668636,2,No info,1,95
1205359,3,No info,No info,No info
1003963,No info,7,2,No info
592483,No info,3,No info,No info
927112,3,No info,1,67
604154,No info,3,2,75
218311,No info,10,2,200
933320,No info,No info,1,67
752468,2,No info,2,No info
952435,No info,3,1,75
145839,No info,4,2,124
952499,No info,1,1,205
982346,1,No info,No info,No info
145840,No info,4,2,124
145838,No info,4,2,124
296415,No info,5,3,150
1082031,No info,3,3,75
935457,No info,7,2,142
1179876,4,No info,No info,No info
146454,No info,7,2,120
1180373,1,No info,No info,No info
939947,No info,3,1,No info
988101,No info,4,No info,No info
744985,1,No info,No info,No info
936825,No info,3,1,65
300449,No info,No info,1,30
952864,No info,10,No info,191
939978,No info,4,No info,No info
321840,No info,9,4,150
1205366,1,No info,No info,No info
120224,No info,10,4,360
1168936,2,No info,No info,No info
222018,No info,5,2,80
744240,No info,5,4,No info
959081,2,No info,1,70
833986,3,No info,3,No info
966576,No info,7,3,150
136575,No info,5,4,195
1022292,5,No info,3,600
1180257,4,No info,No info,No info
356557,No info,4,1,90
334046,No info,5,1,85
576865,No info,3,2,71
313506,No info,4,2,110
329747,No info,6,2,140
449065,1,No info,1,90
1180152,2,No info,No info,No info
513367,No info,9,4,200
668632,3,No info,1,100
309382,3,No info,2,No info
1073998,2,No info,2,No info
988173,No info,7,2,No info
952802,No info,8,No info,133
952806,No info,8,No info,133
952873,No info,10,No info,191
292629,1,No info,1,48
1076262,No info,3,1,No info
289704,No info,7,2,160
640773,No info,4,2,No info
668590,1,No info,1,52
715929,3,No info,2,No info
620948,1,No info,1,No info
624257,2,No info,No info,45
346846,No info,5,2,115
118248,No info,3,1,85
110560,No info,6,2,140
166587,No info,5,2,130
1182646,1,No info,No info,No info
622425,2,No info,1,No info
936741,No info,5,No info,No info
430327,1,No info,1,53
1067844,No info,2,2,90
810104,1,No info,1,42
444382,No info,No info,1,No info
138424,No info,8,4,200
1083305,No info,5,2,90
936909,No info,No info,1,55
622005,2,No info,2,No info
118252,No info,18,5,460
229353,No info,3,1,60
1181291,3,No info,No info,No info
372804,No info,13,2,280
400762,No info,11,2,180
592472,No info,4,No info,No info
1210086,No info,4,2,1
973264,No info,6,2,No info
118251,No info,18,5,460
967688,No info,6,3,No info
768085,2,No info,2,67
767248,2,No info,1,80
1022315,No info,4,2,75
577479,No info,4,2,82
1014921,No info,6,2,170
219458,No info,5,2,No info
982338,1,No info,No info,No info
635893,2,No info,2,75
466302,No info,5,4,110
154759,No info,4,2,124
224789,No info,5,2,140
972593,No info,7,2,No info
233487,No info,4,1,75
110493,No info,4,1,100
321842,No info,9,4,150
118630,No info,18,5,460
1068550,No info,6,2,200
92910,No info,5,2,140
122987,No info,8,2,189
368852,No info,5,2,115
622485,2,No info,1,No info
810079,1,No info,1,60
952515,No info,3,1,90
153718,2,No info,1,78
363728,No info,4,1,85
1003960,No info,7,2,No info
147211,3,No info,1,73
1069831,No info,10,4,350
952765,No info,8,No info,126
624260,2,No info,No info,45
202891,No info,5,2,104
1076594,No info,6,4,160
85770,1,No info,1,65
329751,No info,6,2,140
985239,2,No info,1,80
638838,2,No info,1,75
292773,No info,6,7,190
211477,No info,3,1,70
444965,2,No info,1,68
1089842,2,No info,2,70
154501,No info,10,1,200
1173535,No info,5,2,80
893972,2,No info,1,No info
762493,No info,5,2,No info
952426,No info,5,No info,94
564950,No info,8,2,250
119474,1,No info,1,30
915918,No info,7,3,136
931873,No info,6,No info,No info
1180288,2,No info,No info,No info
380308,No info,19,6,320
154959,No info,6,2,No info
927274,2,No info,2,95
1182929,2,No info,No info,No info
289706,No info,7,2,160
289705,No info,7,2,160
942722,No info,6,5,250
726063,No info,4,4,130
577500,No info,3,2,77
953465,No info,4,1,No info
952252,No info,3,1,85
620829,1,No info,1,No info
953700,No info,4,1,No info
1010374,No info,5,2,114
981022,3,No info,1,55
977238,2,No info,1,75
979848,2,No info,2,No info
769866,No info,14,4,380
89755,No info,5,2,140
289702,No info,7,2,160
1012788,2,No info,2,113
296238,1,No info,1,50
154499,No info,10,1,200
962194,No info,8,No info,No info
608994,2,No info,1,70
952278,No info,5,1,No info
565523,No info,6,3,150
1191062,No info,No info,1,22
620930,1,No info,1,No info
1205371,3,No info,No info,No info
994293,No info,5,2,No info
1090251,No info,No info,No info,No info
1090347,No info,No info,No info,No info
956469,No info,4,1,No info
942590,No info,5,No info,No info
106760,No info,No info,1,45
769869,No info,14,4,380
952748,No info,6,No info,130
744271,2,No info,1,No info
1069858,No info,6,No info,No info
988111,No info,10,5,No info
620846,3,No info,2,No info
961237,2,No info,2,75
922873,No info,7,3,No info
226092,No info,7,2,170
592506,No info,4,No info,No info
245648,No info,7,2,170
226084,No info,7,2,170
329738,No info,6,2,140
624010,No info,5,2,80
926093,No info,No info,1,40
767446,No info,5,1,200
127558,No info,No info,No info,No info
1085553,No info,4,2,No info
625196,1,No info,1,50
973635,No info,5,1,No info
1172536,No info,6,4,127
127246,No info,5,1,110
624008,No info,5,2,80
1181601,3,No info,No info,No info
397757,No info,4,2,130
1005874,No info,6,No info,No info
928987,2,No info,1,55
361028,No info,5,1,No info
361029,No info,5,1,No info
967687,No info,6,3,No info
577472,No info,3,1,71
577499,No info,3,2,77
403034,No info,7,5,No info
257155,1,No info,2,65
768728,No info,6,1,No info
592480,No info,3,No info,No info
929404,No info,6,2,No info
1022679,No info,4,2,140
1021633,No info,4,2,100
90786,No info,5,1,100
952443,No info,4,No info,91
952442,No info,4,No info,91
952440,No info,4,No info,91
982340,1,No info,No info,No info
148761,2,No info,1,47
893994,3,No info,2,110
1190079,2,No info,1,47
95344,No info,9,2,230
956793,No info,5,1,92
982356,1,No info,No info,No info
927716,No info,5,No info,No info
140453,2,No info,1,50
937501,2,No info,1,65
208767,No info,3,2,70
871149,1,No info,1,50
1051887,No info,5,2,No info
952085,No info,No info,1,37
118244,No info,3,1,85
226079,No info,7,2,170
935666,No info,6,3,No info
85663,1,No info,1,65
1080602,No info,6,2,140
513083,No info,6,2,160
642697,3,No info,1,No info
978187,No info,4,2,No info
768513,3,No info,1,No info
972212,No info,6,2,No info
329737,No info,6,2,140
329733,No info,6,2,140
943019,No info,No info,1,30
962849,No info,7,No info,No info
1209224,No info,3,1,70
306303,No info,5,3,115
725928,1,No info,1,No info
